idx, x, y
0, 3.836949, -2.556897
0, 3.822873, -2.493635
0, 3.767355, -2.400014
0, 3.751386, -2.338061
0, 3.774968, -2.306128
0, 3.838877, -2.303162
0, 3.862151, -2.270467
1, 6.241072, -0.016106
1, 6.244297, 0.037466
1, 6.296999, 0.088713
1, 6.398234, 0.138978
1, 6.501055, 0.190929
2, 6.291371, 2.015626
2, 6.179446, 2.042899
3, 2.216469, 2.140694
3, 2.162895, 2.126719
3, 2.147576, 2.144621
3, 2.132101, 2.162388
3, 2.116471, 2.180020
3, 2.137666, 2.231169
3, 2.121436, 2.248847
3, 2.105053, 2.266382
3, 2.088517, 2.283774
3, 2.071829, 2.301020
3, 2.089758, 2.352651
3, 2.072470, 2.369906
3, 2.055032, 2.387010
3, 2.037445, 2.403960
3, 2.019711, 2.420757
4, 1.663343, 6.122188
4, 1.600492, 6.087214
4, 1.538127, 6.050614
4, 1.476752, 6.014336
4, 1.416348, 5.978396
4, 1.367445, 5.989636
5, -0.177723, 7.374529
5, -0.238748, 7.371805
5, -0.302573, 7.417468
5, -0.377308, 7.614210
