time, gpsX, gpsY, compass, velX, velY, velHeading, combX, combY, combHeading, featX, featY, featHeading
0.462817, 0.106859, 0.396263, 0.410215, 0.106859, 0.396263, 0.410215, 0.106859, 0.396263, 0.410215, 0.106859, 0.396263, 0.410215
0.591563, 0.106859, 0.396263, 0.410215, 0.106859, 0.396263, 0.410215, 0.106859, 0.396263, 0.410215, 0.106859, 0.396263, 0.410215
0.672506, 0.106859, 0.396263, 0.410215, 0.106859, 0.396263, 0.410215, 0.105858, 0.390814, 0.406114, 0.040100, 0.033001, 0.000131
0.783909, 0.106859, 0.396263, 0.410215, 0.106859, 0.396263, 0.410215, 0.104856, 0.385458, 0.402052, 0.039071, 0.033769, -0.000089
0.876326, 0.106859, 0.396263, 0.410215, 0.106859, 0.396263, 0.410215, 0.103854, 0.380194, 0.398029, 0.038070, 0.034518, -0.000303
0.988705, 0.106859, 0.396263, 0.410215, 0.106859, 0.396263, 0.410215, 0.102853, 0.375020, 0.394043, 0.037094, 0.035248, -0.000512
1.081954, 0.106859, 0.396263, 0.410215, 0.106859, 0.396263, 0.410215, 0.101852, 0.369934, 0.390096, 0.036144, 0.035958, -0.000716
1.183888, 0.106859, 0.396263, 0.410215, 0.106859, 0.396263, 0.410215, 0.100852, 0.364935, 0.386185, 0.035218, 0.036651, -0.000914
1.288000, -0.200265, 0.301678, 0.410215, 0.106859, 0.396263, 0.410215, 0.095359, 0.359121, 0.382306, 0.031213, 0.039651, -0.001772
1.390824, -0.200265, 0.301678, 0.410215, 0.106859, 0.396263, 0.410215, 0.094384, 0.354339, 0.378463, 0.030343, 0.040303, -0.001958
1.487858, -0.200265, 0.301678, 0.410215, 0.106859, 0.396263, 0.410215, 0.093417, 0.349633, 0.376230, 0.029934, 0.040610, -0.002046
1.603848, -0.200265, 0.301678, 0.410215, 0.106859, 0.396263, 0.410215, 0.092452, 0.345007, 0.372445, 0.029106, 0.041232, -0.002224
1.696195, -0.200265, 0.301678, 0.410215, 0.106859, 0.396263, 0.410215, 0.091490, 0.340459, 0.368697, 0.028299, 0.041838, -0.002397
1.802941, -0.200265, 0.301678, 0.410215, 0.106859, 0.396263, 0.410215, 0.090530, 0.335989, 0.364984, 0.027513, 0.042427, -0.002565
1.901063, -0.200265, 0.301678, 0.410215, 0.106859, 0.396263, 0.410215, 0.089574, 0.331594, 0.361307, 0.026749, 0.043002, -0.002729
2.004868, -0.200265, 0.301678, 0.410215, 0.106859, 0.396263, 0.410215, 0.088620, 0.327274, 0.357665, 0.026004, 0.043562, -0.002889
2.108423, 0.032469, -0.029203, 0.410215, 0.106859, 0.396263, 0.410215, 0.086848, 0.317753, 0.354059, 0.025795, 0.043718, -0.002933
2.212261, 0.032469, -0.029203, 0.410215, 0.111620, 0.398334, 0.410215, 0.090766, 0.315388, 0.350495, 0.028252, 0.041873, -0.002407
2.311069, 0.032469, -0.029203, 0.410215, 0.116151, 0.400304, 0.410215, 0.094433, 0.312930, 0.346971, 0.030565, 0.040137, -0.001911
2.415921, 0.032469, -0.029203, 0.410215, 0.120958, 0.402395, 0.410215, 0.098494, 0.310699, 0.343446, 0.041413, 0.047125, -0.005476
2.516103, 0.032469, -0.029203, 0.164420, 0.125552, 0.404392, 0.410215, 0.102302, 0.308363, 0.331095, 0.041623, 0.046968, -0.005431
2.628944, 0.032469, -0.029203, 0.164420, 0.135900, 0.408892, 0.410215, 0.111997, 0.307985, 0.327744, 0.047888, 0.042284, -0.004088
2.716564, 0.032469, -0.029203, 0.164420, 0.143935, 0.412387, 0.410215, 0.119277, 0.306725, 0.324435, 0.052612, 0.038760, -0.003075
